{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 23:29:01'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 23:29:02'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:29:02'}
{'1': 'state', '2': 'external temp', '3': 8.6, '4': '2023-11-06 23:29:02'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:29:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:30:01'}
{'1': 'state', '2': 'external temp', '3': 8.5, '4': '2023-11-06 23:30:01'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 23:30:11'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {1: 1}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 23:30:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:30:30'}
{'1': 'decision', '2': 'cycle', '3': {1: 1}, '4': '2023-11-06 23:30:30'}
{'1': 'decision', '2': 'heating', '3': 0, '4': '2023-11-06 23:30:30'}
{'1': 'event', '2': 'pump command issue', '3': {1: 1, 'lag': 0.0}, '4': '2023-11-06 23:30:30'}
